"","Find","id","year_behav","Group","sdb.ra","vig.ra","sex","age","rank","rank2","rc","outdeg.grm","indeg.grm","eigen.pr","betw.pr","outdeg.agg","indeg.agg","Wdeg.pr","Windeg.agg"
"1506","7J7|2017","7J7",2017,"KK",12.07,181.09,"Female",7.742465753,NA,72.4137931034483,0.485778027525257,0.406,5.666,0.018613404,0.011,0,0.008,198.7020168,175.9637209
"1507","86Z|2017","86Z",2017,"KK",17.05,145.89,"Female",12.6630137,NA,70.6896551724138,0.56440542134829,3.017,4.634,0.016591146,0.022,0,0,169.9178912,226.4550629
"1508","8I9|2017","8I9",2017,"KK",6.73,161.5,"Female",7.736986301,NA,32.7586206896552,0.401282007342021,3.034,3.034,0.015327366,0.003,0,0,164.3061677,142.3200341
"1509","93O|2017","93O",2017,"KK",23.04,104.83,"Female",16.54520548,NA,29.3103448275862,0.380857897997283,7.319,7.319,0.011960078,0.021,0,0.018,188.7577082,171.8070398
"1510","97Z|2017","97Z",2017,"KK",14.69,155.24,"Male",12.62739726,NA,66.6666666666667,0.508759518659078,2.483,1.848,0.002294712,0.01,0.026,0,36.46246461,67.79829373
"1511","98Z|2017","98Z",2017,"KK",12.68,115.9,"Male",12.57260274,NA,53.3333333333333,0.482549801621394,1.3,1.3,0.003085848,0.005,0.008,0,60.77077435,84.74786717
"1512","99L|2017","99L",2017,"KK",16.18,126.44,"Male",17.55342466,NA,83.3333333333333,0.591074361770382,1.794,3.546,0.007209427,0.008,0,0.008,117.4901638,106.3934263
"1513","9H9|2017","9H9",2017,"KK",17.14,171.43,"Female",8.75890411,NA,9.302325581,0.673186116,3.089,1.337,0.006521734,0.006,0,0,89.13046905,NA
"1514","9I8|2017","9I8",2017,"KK",16.7,224.54,"Female",7.791780822,NA,24.1379310344828,0.391173971459954,0.367,0.367,0.011706825,0.012,0,0.025,137.7470885,231.8664527
"1515","0J5|2017","0J5",2017,"KK",25.69,170.33,"Female",7.665753425,NA,23.25581395,0.615891937,0.126,0.407,0.015553908,0.01,0,0.018,217.6384414,NA
"1516","0K8|2017","0K8",2017,"KK",29.49,233.45,"Female",7.569863014,NA,87.9310344827586,0.613598771562056,3.294,3.42,0.009212404,0.011,0,0.009,149.3851741,51.75673316
"1517","0Q5|2017","0Q5",2017,"KK",23.9,256.93,"Female",4.463013699,NA,10.3448275862069,0.438441640696027,NA,NA,0.002022689,NA,NA,NA,32.77938738,69.47674175
"1518","11Z|2017","11Z",2017,"KK",12.85,157.45,"Male",13.6,NA,40,0.401546554661405,2.252,0,0.004499882,0.011,0.009,0,78.08123735,101.6974406
"1519","1O7|2017","1O7",2017,"KK",40.7,140.87,"Female",4.687671233,NA,46.551724137931,0.491379310344828,NA,NA,0.002085116,NA,NA,NA,37.0149262,16.94957343
"1520","1P0|2017","1P0",2017,"KK",12.62,185.05,"Female",4.684931507,NA,96.551724137931,0.612643190912739,NA,NA,0.009970674,NA,NA,NA,79.89252212,35.51339196
"1521","25P|2017","25P",2017,"KK",19.73,133.44,"Female",16.52876712,NA,1.72413793103448,0.384494697220915,0.126,3.176,0.009755747,0.019,0,0.008,150.6811204,127.3572115
"1522","27J|2017","27J",2017,"KK",20.78,132.97,"Male",19.47671233,NA,86.6666666666667,0.573275635768103,2.632,0,0.006283013,0.007,0.009,0,110.0928785,34.66958202
"1523","27N|2017","27N",2017,"KK",17.16,155.72,"Male",17.3890411,NA,NA,NA,NA,NA,0.031596025,NA,NA,NA,301.3806132,NA
"1524","2F2|2017","2F2",2017,"KK",24.62,225.64,"Female",9.578082192,NA,44.8275862068966,0.36564882398037,1.003,1.003,0.020453458,0.034,0.018,0,230.3150963,204.2295193
"1525","2J7|2017","2J7",2017,"KK",20.93,184.88,"Female",7.775342466,NA,79.3103448275862,0.595073038029395,7.718,13.208,0.021552849,0.028,0.017,0.02,193.6502946,215.8982669
