"agonism_winner","agonism_loser","agonism_type","winner_sex","loser_sex","date","observer","data_source","focal_individual","timeblock"
"4K7","5L4","submit",NA,"M","2018-07-06","DP","scan","agonsim.loser","AM"
"4E2","36V","aggression","M",NA,"2018-07-11","DP","scan","agonsim.winner","AM"
"4E2","36V","aggression","M","M","2018-07-11","DP","scan","agonsim.loser","AM"
"1K1","3H0","aggression","F","F","2018-07-12","DP","scan","agonsim.winner","AM"
"1K1","4C9","aggression","F","F","2018-07-12","DP","scan","agonsim.winner","AM"
"7G1","8J3","aggression","F","M","2018-07-13","DP","scan","agonsim.winner","AM"
"8N3","2G2","aggression","F","F","2018-07-17","DP","scan","agonsim.winner","AM"
"1I5","2G3","aggression","F","F","2018-07-17","DP","scan","agonsim.winner","AM"
"0G8","6I9","submit","M","M","2018-07-24","DP","scan","agonsim.winner","AM"
"32Z","6E6","submit","M","M","2018-07-25","DP","scan","agonsim.loser","AM"
"5N5","7K4","aggression",NA,"M","2018-08-14","DP","scan","agonsim.loser","PM"
"5N5","7K4","aggression","F","M","2018-08-14","DP","scan","agonsim.winner","PM"
"1I5","1I6","aggression","F","F","2018-08-21","DP","scan","agonsim.winner","AM"
"1K1","JF","aggression","F","F","2018-08-27","DP","scan","agonsim.winner","AM"
"36V","5K8","submit",NA,"M","2018-09-11","DP","scan","agonsim.loser","PM"
"04T","1F2","aggression","M","M","2018-09-17","DP","scan","agonsim.loser","PM"
"2K6","0H8","submit","F","M","2018-09-18","DP","scan","agonsim.winner","AM"
"32Z","73S","submit","M","M","2018-09-27","DP","scan","agonsim.loser","AM"
"61R","2K6","submit","M","M","2018-09-27","DP","scan","agonsim.winner","AM"
"0M1","73S","submit","M",NA,"2018-10-01","DP","scan","agonsim.winner","PM"
"5E8","2G2","aggression","F","F","2018-10-04","DP","scan","agonsim.winner","AM"
"2J7","JF","aggression","F","F","2017-01-18","DP","scan","agonsim.winner","AM"
"27J","97Z","aggression","M","M","2017-01-18","DP","scan","agonsim.winner","AM"
"8H2","9H9","aggression","M","M","2017-01-18","DP","scan","agonsim.winner","AM"
"7F0","INF","aggression","F","F","2017-01-18","DP","scan","agonsim.winner","AM"
"8C9","2C4","aggression","M","M","2017-01-18","DP","scan","agonsim.winner","AM"
"73Z","1C5","aggression","F","F","2017-01-18","DP","scan","agonsim.loser","AM"
"56K","INF","aggression","M","M","2017-10-27","DP","scan","agonsim.winner","AM"
"4F1","JF","aggression","F","F","2017-10-27","DP","scan","agonsim.winner","AM"
"ADULT FEMALE","5J3","aggression","M","M","2017-10-27","DP","scan","agonsim.loser","AM"
"6L3","JM","aggression","M","M","2017-11-02","DP","scan","agonsim.winner","AM"
"11Z","JF","aggression","M",NA,"2017-11-02","DP","scan","agonsim.winner","AM"
"5K0","1M8","aggression","M","M","2017-11-03","DP","scan","agonsim.winner","AM"
"1E2","37V","aggression","F","F","2017-11-03","DP","scan","agonsim.winner","AM"
"8L3","JM","aggression","F","F","2017-11-03","DP","scan","agonsim.winner","AM"
"6C2","9H9","aggression","F","F","2017-11-03","DP","scan","agonsim.winner","AM"
"JF","60R","aggression","F","F","2017-11-03","DP","scan","agonsim.loser","AM"
"6C2","9H9","aggression","F","M","2017-11-03","DP","scan","agonsim.loser","AM"
"JM","3F5","aggression","F","F","2017-11-08","DP","scan","agonsim.loser","AM"
"27N","98Z","aggression","M","F","2017-11-10","DP","scan","agonsim.winner","AM"
"4F1","6D9","aggression","F","F","2017-11-10","DP","scan","agonsim.winner","AM"
"27J","98Z","aggression","M","M","2017-11-10","DP","scan","agonsim.winner","AM"
"56K","5H4","aggression","M","M","2017-11-10","DP","scan","agonsim.winner","AM"
"9I8","49V","aggression","F","F","2017-11-10","DP","scan","agonsim.winner","AM"
"73Z","6D4","aggression","F","F","2017-11-10","DP","scan","agonsim.loser","AM"
"49L","8L3","aggression","F","F","2017-11-10","DP","scan","agonsim.loser","AM"
"73Z","5M5","aggression","F","M","2017-11-15","DP","scan","agonsim.winner","AM"
"8C9","6D4","aggression","M","M","2017-11-15","DP","scan","agonsim.winner","AM"
"27J","51J","aggression","M","M","2017-11-15","DP","scan","agonsim.winner","AM"
"1E2","37V","aggression","F","F","2017-11-15","DP","scan","agonsim.winner","AM"
"6A9","INF","aggression","M",NA,"2017-11-15","DP","scan","agonsim.winner","AM"
"1E2","37V","aggression","F","F","2017-11-15","DP","scan","agonsim.winner","AM"
"5K0","1L1","aggression","M","M","2017-11-15","DP","scan","agonsim.winner","AM"
"9N6","4F1","aggression","F","F","2017-11-15","DP","scan","agonsim.loser","AM"
"8C9","7J7","aggression","F","F","2017-11-15","DP","scan","agonsim.loser","AM"
"6C2","6L1","aggression","F","F","2017-11-15","DP","scan","agonsim.loser","AM"
"99L","6L3","aggression","M","M","2017-11-28","DP","scan","agonsim.winner","AM"
"6L3","6L4","aggression","M","M","2017-11-28","DP","scan","agonsim.winner","AM"
"JM","6L4","aggression","M","M","2017-11-28","DP","scan","agonsim.loser","AM"
"6D4","0M6","aggression","F","F","2017-11-30","DP","scan","agonsim.winner","AM"
"5H4","2J7","aggression","F","M","2017-11-30","DP","scan","agonsim.winner","AM"
"46Z","INF","aggression","M","M","2017-11-30","DP","scan","agonsim.winner","AM"
