,dens,dens.w,gini,gini.w,kcomm,clust.w,dens.f,dens.f.w,gini.f,gini.f.w,kcomm.f,clust.f.w,dens.m,dens.m.w,gini.m,gini.m.w,eo.FF,eo.MM,eo.cross,eo.ck,eo.dk,eo.u,kinDegree,group,isPost,quarter,netID
1498,0.027716728,2.120339371,0.409207533,0.383202657,11,0.14133877,0.036528346,1.582902908,0.364610169,0.333767497,10,0.121809364,0.019153226,0.079805938,0.578947368,0.606248395,1.355703582,0.449678457,0.822219627,14.14229192,1.528815288,0.531659154,0.234756789,groupKK,0,2,groupKK.0.2
1499,0.028937729,1.713113553,0.400009273,0.381329819,11,0.130415626,0.037697253,1.251548802,0.350019708,0.348631815,10,0.129491284,0.016129032,0.04516129,0.587890625,0.594866071,1.342209392,0.390488775,0.849998568,14.33278637,1.396795181,0.529323817,0.239259337,groupKK,0,2,groupKK.0.2
1500,0.026984127,1.551587302,0.393466262,0.390520784,12,0.123677249,0.033606078,1.082115722,0.334266765,0.341299084,11,0.115891133,0.018145161,0.043548387,0.567708333,0.600260417,1.340268849,0.344600281,0.863812638,15.35366645,1.131565217,0.502500788,0.256656522,groupKK,0,2,groupKK.0.2
1501,0.028693529,1.727350427,0.402384849,0.376346245,10,0.133196119,0.034482759,1.103448276,0.356650388,0.357891949,10,0.12860676,0.019153226,0.059375,0.610197368,0.607862903,1.272205836,0.425145349,0.904334598,14.96682603,1.1386375,0.515687274,0.245560625,groupKK,0,2,groupKK.0.2
1502,0.027594628,3.338941661,0.408441116,0.401174694,8,0.14399299,0.033606078,2.161986894,0.362711864,0.340915168,8,0.122524906,0.017137097,0.13709626,0.641544118,0.669271533,1.272491309,0.545853745,0.872364361,12.32771638,1.373004446,0.599627445,0.20307144,groupKK,0,2,groupKK.0.2
1503,0.026617827,3.043295971,0.418943442,0.411879967,6,0.133459633,0.033313852,1.965511578,0.355486173,0.355645495,8,0.120291039,0.02016129,0.174730444,0.640625,0.675481415,1.235045785,0.625822087,0.885290735,12.39464813,1.122839464,0.605399125,0.205964856,groupKK,0,2,groupKK.0.2
1504,0.026984127,1.589365079,0.396101636,0.39017519,12,0.124354005,0.033313852,1.092694331,0.362920012,0.386264986,10,0.125101543,0.021169355,0.065625,0.5625,0.564516129,1.332792209,0.434528862,0.846963037,15.82644703,0.908890244,0.4933087,0.258003049,groupKK,0,2,groupKK.0.2
1505,0.029426129,2.314866501,0.405681455,0.387362654,10,0.136129272,0.038281707,1.678023101,0.362530728,0.340916235,11,0.144296851,0.019153226,0.095766512,0.590460526,0.568750787,1.33357588,0.524748447,0.82255108,13.27605839,1.51136886,0.562263734,0.216684848,groupKK,0,2,groupKK.0.2
1506,0.027960928,4.627533578,0.436633236,0.441983998,5,0.171466549,0.034482759,2.879310345,0.378914105,0.385669339,6,0.136305732,0.018145161,0.208669355,0.612847222,0.627717391,1.207514554,0.573683121,0.923938438,10.91650282,1.586778443,0.64165148,0.180265269,groupKK,0,2,groupKK.0.2
1507,0.028937729,2.038048366,0.381926091,0.371419369,11,0.111354784,0.0371128,1.463309068,0.335379688,0.340578843,8,0.11055679,0.02016129,0.077765323,0.5703125,0.585648184,1.339880919,0.452157607,0.835907613,13.43443566,1.200148519,0.566839301,0.225418044,groupKK,0,2,groupKK.0.2
1508,0.028693529,2.826312576,0.408744447,0.408322642,9,0.153306027,0.036236119,1.85710111,0.349371241,0.352955767,8,0.136825227,0.023185484,0.162298387,0.55298913,0.591517857,1.245264295,0.586724251,0.886301676,11.45533309,1.45422439,0.627253446,0.193600976,groupKK,0,2,groupKK.0.2
1509,0.026984127,8.5,0.46288101,0.48822606,8,0.152504472,0.033313852,5.130333139,0.408563782,0.437816421,6,0.118110236,0.02016129,0.524193548,0.603125,0.643028846,1.170075979,0.681451613,0.929555085,9.430291723,2.581090909,0.661026021,0.160911688,groupKK,0,2,groupKK.0.2
1510,0.027838828,3.452005187,0.412280702,0.418025816,9,0.155550931,0.034482759,2.172407241,0.370008618,0.377276174,8,0.125874151,0.023185484,0.247310978,0.566576087,0.593750879,1.215969388,0.710197217,0.880412371,12.9155935,0.876295434,0.595308888,0.202284585,groupKK,0,2,groupKK.0.2
1511,0.026007326,4.213186813,0.445183924,0.46370913,6,0.153557173,0.034190532,3.042957335,0.380704042,0.398590745,8,0.119047619,0.015120968,0.128528226,0.639583333,0.674632353,1.314858108,0.433187724,0.86356815,11.9778006,2.605258427,0.571898917,0.193513483,groupKK,0,2,groupKK.0.2
